2026-06-19 13:01:26 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:01:33 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:02:00 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:02:03 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:02:04 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:07:46 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:11:46 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:11:48 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:12:48 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:13:06 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:16:52 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:16:54 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:17:02 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:17:11 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:17:16 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:17:21 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:17:22 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:22:27 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:22:42 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:22:57 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:23:06 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:23:08 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:23:09 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:23:10 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:23:11 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:23:23 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:23:28 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:23:43 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:24:40 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:24:49 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:24:56 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:25:30 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:37:22 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:38:08 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:38:09 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:38:37 - getLoggedUser - User 21, id_warehouse_admin: 2, calculated warehouse_office_id: 8
2026-06-19 13:38:46 - getLoggedUser - User 21, id_warehouse_admin: 2, calculated warehouse_office_id: 8
2026-06-19 13:38:58 - getLoggedUser - User 21, id_warehouse_admin: 2, calculated warehouse_office_id: 8
2026-06-19 13:39:00 - getLoggedUser - User 21, id_warehouse_admin: 2, calculated warehouse_office_id: 8
2026-06-19 13:39:25 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:28 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:37 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:38 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:39 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:40 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:40 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:41 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:41 - getSubWarehouseStock START - id_office: 3
2026-06-19 13:39:41 - getSubWarehouseStock - id_admin: 16, id_office: 3, role: vendedor, Results: 4
2026-06-19 13:39:41 - getSubWarehouseStock START - id_office: 3
2026-06-19 13:39:41 - getSubWarehouseStock - id_admin: 16, id_office: 3, role: vendedor, Results: 4
2026-06-19 13:39:42 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:42 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:46 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:47 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:39:54 - getLoggedUser - User 21, id_warehouse_admin: 2, calculated warehouse_office_id: 8
2026-06-19 13:48:21 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:48:21 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:48:22 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:48:23 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:48:42 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:49:10 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:49:14 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:49:36 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:52:03 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:52:03 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:52:50 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:52:54 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:53:53 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:58:54 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:58:58 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 13:59:04 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 14:02:11 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 14:02:13 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 14:02:13 - getLoggedUser - User 20, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 14:02:37 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 15:12:36 - getLoggedUser - User 16, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 15:18:44 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 15:18:45 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 15:19:04 - getLoggedUser - User 21, id_warehouse_admin: 2, calculated warehouse_office_id: 8
2026-06-19 15:19:14 - getLoggedUser - User 21, id_warehouse_admin: 2, calculated warehouse_office_id: 8
2026-06-19 15:22:33 - getLoggedUser - User 21, id_warehouse_admin: 2, calculated warehouse_office_id: 8
2026-06-19 15:23:17 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 15:23:17 - getSubWarehouseStock START - id_office: 3
2026-06-19 15:23:17 - getSubWarehouseStock - id_admin: 15, id_office: 3, role: admin, Results: 3
2026-06-19 15:23:17 - getSubWarehouseStock START - id_office: 3
2026-06-19 15:23:17 - getSubWarehouseStock - id_admin: 15, id_office: 3, role: admin, Results: 3
2026-06-19 15:23:26 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 15:23:29 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 15:23:37 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 15:23:41 - getLoggedUser - User 15, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 15:30:19 - getLoggedUser - User 21, id_warehouse_admin: 2, calculated warehouse_office_id: 8
2026-06-19 15:30:19 - getSubWarehouseStock START - id_office: 8
2026-06-19 15:30:19 - getSubWarehouseStock - id_admin: 21, id_office: 8, role: despachador, Results: 0
2026-06-19 15:30:20 - getSubWarehouseStock START - id_office: 8
2026-06-19 15:30:20 - getSubWarehouseStock - id_admin: 21, id_office: 8, role: despachador, Results: 0
2026-06-19 16:05:03 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:08:22 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:10:18 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:12:36 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:17:18 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:19:29 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:20:01 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:22:52 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:22:59 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:23:19 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:23:21 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:24:07 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:25:27 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:32:43 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:32:49 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:33:01 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:33:24 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:33:26 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:33:28 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:34:41 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:34:43 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:34:44 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 16:34:45 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 18:47:04 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:05:53 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:07:22 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:07:25 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:15:55 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:20:04 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:20:17 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:35:46 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:37:10 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:38:11 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:38:15 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:40:09 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:40:15 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:42:17 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:44:34 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:45:49 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:46:33 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:48:40 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:48:44 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:49:12 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:49:20 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:49:42 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:49:44 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:52:54 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:52:55 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 20:53:07 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:02:40 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:04:16 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:06:54 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:03 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:10 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:17 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:26 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:28 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:29 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:30 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:37 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:40 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:43 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:47 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:07:49 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:08:02 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:08:03 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:08:04 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:08:10 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:08:11 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:10:25 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:10:25 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:12:06 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:12:16 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:12:20 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:12:22 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:12:23 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:12:26 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:12:53 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:12:55 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:12:57 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:14:34 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:14:37 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:14:42 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:15:27 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:15:27 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:16:11 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:16:48 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
